Beta_Trt,Beta_Risk,Beta_intx,Lower.CI,Upper.CI,rejection.Risk,SSVS_results,Prediction_Error,Beta_intx_Noise,Lower.CI_Noise,Upper.CI_Noise,rejection.Risk_Noise,Prediction_Error_Noise,rejection.interaction,rejection.SDIR,SDIR
1.01580650344996,0.952722970619049,-0.0621209130950714,-0.396244588726215,0.302714904829131,Accept,"Gender, Age, ProgVar",1.41197488476048,-0.0621209130950714,-0.41639428060823,0.272198505612109,Accept,1.38312345281038,Accept,Accept,0.183105659905319
0.345030684961073,0.806551654350735,0.389788514044941,0.0905450651878336,0.727735284174448,Reject,"Gender, Age, ProgVar",1.9835769401635,0.389788514044941,0.0599918437900179,0.706771105172172,Reject,1.85551999014134,Accept,Accept,0.77516193719623
1.18462753403423,1.0479678231289,-0.0513977328864394,-0.525933611293349,0.222060748419839,Accept,"Gender, Age, ProgVar",0.825537091139439,-0.0513977328864394,-0.384697061980068,0.286506065120169,Accept,1.17952815047672,Accept,Accept,0.494353026992283
0.927716376961094,1.01350638658653,-0.0396343319348767,-0.286526631766666,0.213548410371896,Accept,"Gender, Age, ProgVar",1.30472256300659,-0.0396343319348767,-0.283831439503603,0.210321969361211,Accept,1.41720714969494,Accept,Accept,1.02287608929872
1.22365579345095,1.1335108174218,0.0585320930636735,-0.85066269933904,0.60027161657232,Accept,Age,2.04302258973519,0.0585320930636735,-0.396569738998409,0.489673112352962,Accept,2.12759495904225,Accept,Accept,0.575712884374788
0.784398767879035,1.08621058778069,0.172962838329941,-0.390307578997203,0.45814878662399,Accept,"Age, ProgVar",1.66253182608734,0.172962838329941,-0.136944128369201,0.488553219442669,Accept,1.26455901956945,Accept,Accept,0.813550667729816
1.43990605037524,1.00292312130478,-0.0519100389500445,-0.379066775911413,0.205829051309259,Accept,"Gender, Age, ProgVar",1.61268699387349,-0.0519100389500445,-0.335295177379897,0.257732361003125,Accept,1.46053150303974,Accept,Accept,0.721886131610732
0.904326950494942,0.946763193858386,0.0652115107961321,-0.112707384452065,0.492548303394993,Accept,"Gender, Age, ProgVar",1.52898825438226,0.0652115107961321,-0.232734773215198,0.36714567176359,Accept,1.164060949335,Accept,Accept,1.13837260559114
1.10352969672943,0.949178342708243,0.0191195394989812,-0.439947345675763,0.298147544639407,Accept,"Gender, Age",1.76319454075489,0.0191195394989812,-0.265690312595137,0.307349805300122,Accept,1.71298724281515,Accept,Accept,1.17333474674641
1.03783932274506,1.15202419919325,-0.0684036817889545,-0.619901513566734,0.416867942729919,Accept,"Gender, Age",1.80408172921824,-0.0684036817889545,-0.454294210923272,0.351870511506686,Accept,1.64587356247846,Accept,Accept,0.566847218652089
0.953947726330384,0.836806353074178,0.0672830963478932,-0.158065165947077,0.374610101579619,Accept,"Gender, Age, ProgVar",1.16931434926451,0.0672830963478932,-0.197597225661132,0.319845010988148,Accept,1.39946025655672,Accept,Accept,1.10500223484217
0.65692540476811,0.954712105687496,0.284141218591764,-0.598798348152336,0.991542549368318,Accept,Age,1.57880743504137,0.284141218591764,-0.142357100350821,0.706058661903356,Accept,1.43624350652207,Accept,Accept,0.570726299076239
0.67788546457087,1.0373029784606,-0.0810499357330134,-0.24837817058442,0.750826492242556,Accept,Age,1.40632090817543,-0.0810499357330134,-0.362267021302769,0.196457106862716,Accept,1.28226100810922,Accept,Accept,0.733691766149074
0.978695538940625,1.05880353620826,-0.145032139851209,-0.40650972131525,0.213672495073776,Accept,"Gender, Age, ProgVar",1.39685473964434,-0.145032139851209,-0.440601513753775,0.170922987261124,Accept,1.37416814309601,Accept,Accept,0.93030789894373
0.367284143464801,0.883756885095196,0.21389306588095,-0.0801574505840532,0.647927564377979,Accept,"Gender, Age, ProgVar",1.31835537803383,0.21389306588095,-0.149939698137064,0.546507232116048,Accept,1.37475561736354,Accept,Accept,0.799854866957335
0.345681096079665,0.769481129558687,0.275965478484155,-0.176060074989835,0.725449123127911,Accept,"Gender, Age",1.25685358499542,0.275965478484155,-0.0987701993007158,0.635471961088218,Accept,1.27611814470647,Accept,Accept,1.03940971909981
0.849538994077585,0.983077255589264,0.156924307479518,-0.323747901874242,0.45657503841282,Accept,"Gender, Age, ProgVar",1.68821603680892,0.156924307479518,-0.178162582695134,0.512574889545594,Accept,1.49084397802817,Accept,Reject,1.26454097849135
0.92538420538382,0.993307785415317,0.0608133374637175,-0.380472007833902,0.325095253871992,Accept,"Gender, Age",1.50023993718706,0.0608133374637175,-0.258698819593548,0.374845626962903,Accept,1.33373686701813,Accept,Accept,0.3335428383871
0.913293221872199,1.0359028687519,-0.0168293752076952,-0.366570692868029,0.27487880194973,Accept,"Gender, Age, ProgVar",1.85046567851711,-0.0168293752076952,-0.315789479565203,0.298215597997761,Accept,1.65657367413428,Accept,Accept,0.730892254846965
1.27120972430142,1.08837019162737,-0.117615006681625,-0.467879437290583,0.144878789043073,Accept,"Age, ProgVar",1.94078705541375,-0.117615006681625,-0.399847392076126,0.163292820443528,Accept,1.84628840009209,Accept,Accept,0.854086624913583
0.856957503693053,1.04306641218861,0.0318855747273614,-0.310927841989211,0.490917370085676,Accept,"Gender, Age, ProgVar",1.37139703589617,0.0318855747273614,-0.330519878970589,0.437220979340198,Accept,1.64023968905895,Accept,Accept,1.09839672384284
0.92426592686591,1.15236672131239,0.113270270262103,-0.970955888559649,0.558334508787064,Accept,Age,2.19986332420374,0.113270270262103,-0.383405130337854,0.574411830333487,Accept,1.47795104375772,Accept,Accept,1.07733247502311
0.431896606820168,0.852350427394987,0.322823452832936,-0.0859994064931388,0.812058106402098,Accept,"Age, ProgVar",1.5068528742346,0.322823452832936,-0.0384269930071287,0.686684540078403,Accept,1.30788571518265,Accept,Accept,0.646558498405827
1.0392639649978,0.917514324325591,0.0170988206997065,-0.249123625046548,0.294698963943645,Accept,"Gender, Age, ProgVar",1.23355304606605,0.0170988206997065,-0.257526647239724,0.281729631114714,Accept,1.31173030272805,Accept,Accept,0.926581705958646
0.797557490831036,0.90856817128387,-0.0209273541554024,-0.355043828617066,0.500685018624159,Accept,"Age, ProgVar",1.72642826143914,-0.0209273541554024,-0.327729799014589,0.275788691192872,Accept,1.85084789770863,Accept,Accept,0.666884066718877
1.04924451324336,0.929924896518493,-0.0232451351753264,-0.317565048183587,0.126346134583501,Accept,"Gender, Age, ProgVar",1.68499032122164,-0.0232451351753264,-0.24924545023227,0.208420838844425,Accept,1.45807803685865,Accept,Accept,0.343516745482656
0.992009292232035,1.10012158913956,-0.0973545206124338,-0.483664553015719,0.2448044361089,Accept,"Gender, Age, ProgVar",1.76197273726334,-0.0973545206124338,-0.452156577201915,0.232723048365173,Accept,1.66685511073861,Accept,Accept,1.12277405039573
