Beta_Trt,Beta_Risk,Beta_intx,Lower.CI,Upper.CI,rejection.Risk,SSVS_results,Prediction_Error,Beta_intx_Noise,Lower.CI_Noise,Upper.CI_Noise,rejection.Risk_Noise,Prediction_Error_Noise,rejection.interaction,rejection.SDIR,SDIR
0.8525944370472988,0.8639270383339345,0.2074671670929595,0.05806251649998725,0.3597709165201546,Reject,"Gender, Age, ProgVar",1.6323705237351518,0.2074671670929595,0.04452505010942568,0.36616334885360247,Reject,1.6115746097233168,Accept,Reject,0.9664273752789061
1.0842378979067249,0.8113576703836897,0.08451056630727533,-0.035111846589449734,0.2225717633567963,Accept,"Gender, Age, ProgVar, X2",1.6770235099996842,0.08451056630727533,-0.04475498575316453,0.22975536833148008,Accept,1.7914950412795152,Accept,Accept,0.313605666654672
1.2129713359848375,0.9282888084111423,-0.002623828101984298,-0.1596445093225642,0.12649680060634266,Accept,"Gender, Age, ProgVar",1.512420481033248,-0.002623828101984298,-0.14538961149305574,0.15710984429024008,Accept,1.540467885786107,Accept,Reject,0.9265243724356658
1.324590086780549,0.9769586726539556,0.07146403000207134,-0.1167873295192056,0.18578492781284062,Accept,"Gender, Age, ProgVar",1.9999097218550448,0.07146403000207134,-0.08519811695312683,0.23595262471928014,Accept,1.7665082720021548,Accept,Accept,0.664893184105972
1.168629598726845,0.9987821496633994,0.0632228427399796,-0.07727834826833897,0.23907129728449322,Accept,"Gender, Age, ProgVar",1.5750098540173292,0.0632228427399796,-0.10680559433385833,0.2350056737785214,Accept,1.6548233004988402,Accept,Accept,0.3919430176135485
1.0726634016888743,0.8963884405132847,0.04419126107692029,-0.11201707823351914,0.15756876335717193,Accept,"Gender, Age, ProgVar",1.6401109134878675,0.04419126107692029,-0.09345336802208251,0.18963267766616643,Accept,1.556090899952882,Accept,Accept,0.6997409926621742
1.121704486706972,1.1076436635968478,0.04838531756251008,-0.1209994332059735,0.21526737935486695,Accept,"Gender, Age, ProgVar",1.443269815056171,0.04838531756251008,-0.12365155838828032,0.23000005170702104,Accept,1.4932397550767826,Accept,Accept,0.5262320202367845
1.3148968416762212,1.0051815319257777,0.0317596988526399,-0.14099982957199936,0.16517316861684297,Accept,"Gender, Age, ProgVar",1.596304170038166,0.0317596988526399,-0.12628142149435354,0.19612743285171824,Accept,1.676752878088889,Accept,Accept,0.3666696049595637
1.5206284014198361,1.0462140485289044,-0.1685328603744854,-0.29463390913342735,-0.05577419988845589,Reject,"Gender, Age, ProgVar",1.9248848735437176,-0.1685328603744854,-0.2909442698477066,-0.03780341145562818,Reject,1.8645929358629971,Reject,Accept,0.7193337468710946
1.089226880355469,0.852720709338327,0.18425552591072633,0.019371844412220035,0.29247597474981113,Reject,"Gender, Age, ProgVar",1.6506058256489329,0.18425552591072633,0.03855560921193291,0.3283234743676101,Reject,1.80405242496288,Accept,Reject,0.9054603340468222
1.3579398861399878,0.9436509729921313,-0.014534179607010889,-0.13713861168495223,0.10137555353408528,Accept,"Gender, Age, ProgVar",1.482082021608061,-0.014534179607010889,-0.1352929874642302,0.1148057244851321,Accept,1.4728872460789668,Accept,Accept,0.5654072314156903
1.0631912135697283,0.9056973259840387,0.06861778986491453,-0.048953488905028014,0.23317350623084998,Accept,"Gender, Age, ProgVar",1.9037375691614775,0.06861778986491453,-0.07524342272561838,0.22622905170453808,Accept,1.720732314019607,Accept,Reject,1.070386941544349
1.1172742694500606,1.0394379219295609,7.328630239216508e-4,-0.1408438188345269,0.15321068491514556,Accept,"Gender, Age, ProgVar",1.407932912537027,7.328630239216508e-4,-0.14651538159407373,0.15973541107271533,Accept,1.3252342688462204,Accept,Accept,0.5480355353412827
1.2794287052738538,1.0126633306249924,0.008552640800481398,-0.156558961930497,0.15323382792263732,Accept,"Gender, Age, ProgVar",1.5972026500664052,0.008552640800481398,-0.14895355763931564,0.17690570826435423,Accept,1.4359871985276522,Accept,Accept,0.7126882426512103
1.2728160328729476,0.9223301835503529,-0.015510318672780545,-0.14755517759474088,0.1303388544583578,Accept,"Gender, Age, ProgVar",1.4498341444636005,-0.015510318672780545,-0.1593038256027634,0.13647268514932184,Accept,1.5098741698456757,Reject,Accept,0.5484701721332493
1.2175137428235407,0.9558373360898705,0.024159455968833534,-0.11137944166067462,0.18521921696181243,Accept,"Gender, Age, ProgVar",1.8195807098998271,0.024159455968833534,-0.12483332971199568,0.1900418119171319,Accept,1.7837323485643868,Accept,Accept,0.6970290078951825
1.2609788052351554,1.0613886262287526,0.039917938218927806,-0.11451586144397052,0.19050019196618237,Accept,"Gender, Age, ProgVar",1.5858940048859211,0.039917938218927806,-0.12137523582885995,0.20374400381167515,Accept,1.6471164177007243,Accept,Accept,0.7292458306107551
1.0855467792603926,0.9300702079074208,0.04978293808400802,-0.07705481731684483,0.18321801155814876,Accept,"Gender, Age, ProgVar",1.776383715897225,0.04978293808400802,-0.08252032968165643,0.1904431437820917,Accept,1.56413933438284,Accept,Reject,0.9099779799588009
0.9978215672653473,0.9762928999065156,0.08869815462189834,-0.04621940309632443,0.23579511638865625,Accept,"Gender, Age, ProgVar",1.4313671864306912,0.08869815462189834,-0.06794149689534655,0.2350083216911816,Accept,1.5559949242348858,Accept,Accept,0.31888710943124243
1.0883261003611286,0.9154670786068956,0.0634387840725025,-0.08381012830167509,0.1997955924985975,Accept,"Gender, Age, ProgVar",1.3204601064852124,0.0634387840725025,-0.08287238236757842,0.21444832714997905,Accept,1.37964340398892,Accept,Accept,0.314055254850683
1.17708013578493,0.9614654800629243,-0.007872159560986523,-0.14063722186552272,0.10131433180745364,Accept,"Gender, Age, ProgVar",1.6328662134056162,-0.007872159560986523,-0.13991549932956981,0.11752766476950295,Accept,1.5806504647695987,Accept,Accept,0.42374722229748896
1.2900823575560931,0.9606872209202251,0.02199152943464044,-0.17461358427133575,0.11687150107233077,Accept,"Gender, Age, ProgVar",1.6313589063878748,0.02199152943464044,-0.1279596948641901,0.1803950553119871,Accept,1.5348079925874683,Accept,Accept,0.7466285143337057
1.505395324829608,1.0033900285174349,-0.0991932406392831,-0.22245366944802733,0.033907036456326464,Accept,"Gender, Age, ProgVar",1.5300727700243928,-0.0991932406392831,-0.2275806511915724,0.040483558273357874,Accept,1.6787521966938899,Accept,Accept,1.116757596833853
1.3437119748518194,1.0984353025867875,-0.03531406173084546,-0.2171880223765028,0.10983268806479368,Accept,"Gender, Age, ProgVar",1.6976507515836214,-0.03531406173084546,-0.20163235714177252,0.15047567348513524,Accept,1.6323999998353125,Accept,Accept,0.03254952087309981
1.3649570929169013,1.084926162199321,-0.02912609416635097,-0.16344365146261938,0.1295159536152796,Accept,"Gender, Age, ProgVar",1.7116058888618733,-0.02912609416635097,-0.17511408652212226,0.1371904927121727,Accept,1.6151342152347996,Accept,Accept,0.21049840463822858
1.3689221122085156,1.0294681588866887,-0.054962533046283395,-0.1710460664445938,0.10415930695867516,Accept,"Gender, Age, ProgVar",1.8258104509432502,-0.054962533046283395,-0.20327092697046034,0.09549014039346798,Accept,1.7251946939164982,Accept,Accept,0.5324442534850163
1.4235030530476622,1.0663836685639865,-0.09287949964047978,-0.2792086084988943,0.034076218405926104,Accept,"Gender, Age, ProgVar",1.444935108350888,-0.09287949964047978,-0.26105894288563497,0.07696822216423317,Accept,1.671569024384807,Accept,Accept,0.6494433285789686
1.4223777187964928,0.9760900671398005,-0.1063465913327433,-0.24284074111743395,0.0758698510854805,Accept,"Gender, Age, ProgVar",1.5769666505636382,-0.1063465913327433,-0.26760056584561587,0.07113824873423685,Accept,1.6808784278449145,Accept,Accept,0.5037717069331584
1.180179138734873,0.9870657832254931,-0.017205151495949707,-0.14864477170391233,0.11872306570904634,Accept,"Gender, Age, ProgVar",1.3737241269923604,-0.017205151495949707,-0.15229355645313364,0.12158046009756021,Accept,1.5807977330316223,Accept,Accept,0.027901675483275927
1.3160731903764205,0.9860470886930638,-0.04898038331732051,-0.16512644487106698,0.1215922477433485,Accept,"Gender, Age, ProgVar",1.7910243858236377,-0.04898038331732051,-0.20042139799853886,0.10136825731309324,Accept,1.5084277920325875,Accept,Accept,0.09655832341791294
1.1024547349712956,0.9495035147719689,0.05252876613299747,-0.09011341512609818,0.17469521326980716,Accept,"Gender, Age, ProgVar",1.8862934099978252,0.05252876613299747,-0.0900336821806099,0.19676063173710412,Accept,1.6740387244509134,Accept,Accept,0.6897093588072172
1.3449057305847796,0.9480567012101535,-0.03186450389388699,-0.15682947045310572,0.10452403653289613,Accept,"Gender, Age, ProgVar",1.4446783335373976,-0.03186450389388699,-0.17466629595255165,0.0981204945601713,Accept,1.5843243374844829,Accept,Accept,0.7641446044982787
1.3525349463567375,1.0642232066962616,-0.16827265979632508,-0.30865787693085855,-0.010451832866894044,Reject,"Gender, Age, ProgVar",1.4638232074331798,-0.16827265979632508,-0.32814506347285083,-0.008398368441925042,Reject,1.5292394873188742,Accept,Accept,0.7100308294812021
1.3411706499845053,1.0845544922252448,-0.07580556102452357,-0.21783903794842907,0.08750911984676973,Accept,"Gender, Age, ProgVar",1.7720117249729839,-0.07580556102452357,-0.23610046030114665,0.09020387936695178,Accept,1.6497327061606992,Accept,Accept,0.6868689025607345
1.0228161446698303,0.9400074331845045,0.11861124453556736,-0.039794263465160976,0.2899466582564116,Accept,"Gender, Age, ProgVar",1.602230460474792,0.11861124453556736,-0.05789255019983451,0.29387865281598186,Accept,1.6974326611670694,Accept,Accept,0.22476863362788152
1.322717498915436,1.0473121720045078,-0.08121832784841143,-0.2159432210373416,0.032507170917796285,Accept,"Gender, Age, ProgVar",1.5087863772165175,-0.08121832784841143,-0.21516395620337736,0.052000189386975634,Accept,1.5549022617052801,Accept,Accept,0.6580770118600875
1.1865792769864674,0.9181893787800876,0.04089144812383696,-0.09449479767914767,0.18522462655133737,Accept,"Gender, Age, ProgVar",1.7588093300311827,0.04089144812383696,-0.10640197443209731,0.19356988987372845,Accept,1.7246237633026111,Accept,Accept,0.18350528161133722
1.1796450699538237,1.0354877112072696,0.040176814015577336,-0.12086778081630893,0.17560981118423666,Accept,"Gender, Age, ProgVar",1.7789434950363432,0.040176814015577336,-0.11996619347120827,0.20432617512688417,Accept,1.6996992573677345,Accept,Accept,0.22776159587485148
1.31661745890277,1.0267560708457426,-0.023658089468686718,-0.1774353282406137,0.10479047580725409,Accept,"Gender, Age, ProgVar",1.4372884373166974,-0.023658089468686718,-0.17218969620098346,0.1271137874464397,Accept,1.5748581521858107,Accept,Accept,0.7717687610239222
1.2801049889972005,1.0047946556548824,-0.034708427458052894,-0.19355312529253,0.13257500322512009,Accept,"Gender, Age, ProgVar",1.7648167231841665,-0.034708427458052894,-0.21019603996707487,0.1399169851085116,Accept,1.6483489452991276,Accept,Accept,0.9656916437226739
0.8978818217899156,0.9402616888302406,0.2207675481499852,0.06039626633873876,0.38090700886712103,Reject,"Gender, Age, ProgVar",1.9498413594584973,0.2207675481499852,0.053505772758295496,0.3952328457192082,Reject,1.8856912128854204,Accept,Accept,0.7875933982512233
1.4481807582138522,0.9790327170418499,-0.15644739604327454,-0.2539054551693072,0.021396352053380134,Accept,"Gender, Age, ProgVar",1.3989909169358026,-0.15644739604327454,-0.2967636637833,-0.009313045371964673,Reject,1.571887846031411,Accept,Accept,0.8018252892732766
1.1151333813087967,0.9207929877002352,0.08197315020865444,-0.05487088559365804,0.21990907795591497,Accept,"Gender, Age, ProgVar",1.6741888858461036,0.08197315020865444,-0.06807213560426653,0.22562794406553507,Accept,1.5912600561497376,Accept,Accept,0.3312237323360463
1.0251403164324981,0.9884375111506237,0.00621192496294645,-0.11252477520233722,0.19470100831809914,Accept,"Gender, Age, ProgVar",1.5141139810307025,0.00621192496294645,-0.15263850212176658,0.17851968844028152,Accept,1.4517924520827434,Accept,Accept,0.4225714288611296
1.0700286964575318,0.9402294477052782,0.17634053290609475,0.01650526095436696,0.3121505973309453,Reject,"Gender, Age, ProgVar",1.6676751900372038,0.17634053290609475,0.01550902612072183,0.33502852599315464,Reject,1.6754278468129546,Accept,Accept,0.4198338303801494
1.5357102957310829,1.2003551779985344,-0.14617161901004294,-0.33625557900367253,0.0032091554858600865,Accept,"Gender, Age, ProgVar",1.7912410410697905,-0.14617161901004294,-0.3251330381915034,0.043713628917418285,Accept,1.7160434030358511,Reject,Accept,0.5130576211918995
