Beta_Trt,Beta_Risk,Beta_intx,Lower.CI,Upper.CI,rejection.Risk,SSVS_results,Prediction_Error,Beta_intx_Noise,Lower.CI_Noise,Upper.CI_Noise,rejection.Risk_Noise,Prediction_Error_Noise,rejection.interaction,rejection.SDIR,SDIR
0.40467725589978715,0.7941484343413138,0.38611473047294975,0.2679739529570812,0.5157385509984912,Reject,"Gender, Age, ProgVar",1.4980141691710944,0.38611473047294975,0.26409183583022433,0.5082472209255726,Reject,1.5275672376010747,Reject,Reject,1.1868215038472596
0.7040773368121958,0.8435340392629604,0.19673461146708998,0.04991920565312935,0.33887320922262454,Reject,"Gender, Age, ProgVar",1.5348744341816822,0.19673461146708998,0.04551575405646592,0.33964735301553395,Reject,1.5391821214634365,Reject,Accept,0.7187500130876382
0.5501475435585527,0.8326329245811258,0.2542746241875719,0.11187658878328062,0.39248900877239296,Reject,"Gender, Age, ProgVar",1.6134842136520446,0.2542746241875719,0.11271505546803609,0.40439223026266863,Reject,1.5954971691773365,Reject,Reject,0.9737716379891671
0.5217919768531991,0.8565965907108055,0.24469172823105376,0.10314785623795836,0.39824471205597667,Reject,"Gender, Age, ProgVar",1.6912351203287062,0.24469172823105376,0.10756272571148334,0.38509798602541134,Reject,1.440408345424368,Reject,Reject,1.0658434511620052
0.5221693632529667,0.7634197439551137,0.36769521567595365,0.27065087354774287,0.5142600259929535,Reject,"Gender, Age, ProgVar",1.6223062541358184,0.36769521567595365,0.24573190040389023,0.4913105843850487,Reject,1.4482067296404872,Reject,Reject,1.2819230906395347
0.2693292800999981,0.783706499771894,0.3929747519677085,0.2486179108929041,0.564555899073287,Reject,"Gender, Age, ProgVar",1.6898659477404037,0.3929747519677085,0.23647093061891683,0.5613995406480553,Reject,1.7165290348400015,Reject,Accept,0.6441391135596863
0.5435376765921592,0.7939747574119985,0.3277877974118182,0.20922833639882052,0.4552556872873698,Reject,"Gender, Age, ProgVar",1.468456659398558,0.3277877974118182,0.2078025803031088,0.4536735923347902,Reject,1.432853327878517,Reject,Reject,1.3835825443486092
0.6638726750590502,0.8531576643059786,0.2610274522535873,0.11897269754198059,0.3910705770675092,Reject,"Gender, Age, ProgVar",1.4704788677101974,0.2610274522535873,0.12664481001955674,0.40938705793322955,Reject,1.4102978033362277,Reject,Accept,0.12920096598568645
0.6842989006438566,0.8374045568308306,0.23831778263988312,0.13886614898161836,0.40257287240724504,Reject,"Gender, Age, ProgVar",1.7756425249790195,0.23831778263988312,0.10123882866885159,0.3701258734357683,Reject,1.6527162135180604,Reject,Accept,0.863123521112384
0.5929842338609189,0.9492263630175247,0.2785354766078616,0.1024188890011585,0.4921442376049422,Reject,"Gender, Age, ProgVar",1.7960568011259774,0.2785354766078616,0.09688459979449429,0.46567875075722165,Reject,1.8631525513732132,Reject,Accept,0.7868881270931781
