Beta_Trt,Beta_Risk,Beta_intx,Lower.CI,Upper.CI,rejection.Risk,SSVS_results,Prediction_Error,Beta_intx_Noise,Lower.CI_Noise,Upper.CI_Noise,rejection.Risk_Noise,Prediction_Error_Noise,rejection.interaction,rejection.SDIR,SDIR
0.817065884496752,0.9506104847304432,0.10933827947171768,-0.030701346879122515,0.2692363889276195,Accept,"Gender, Age, ProgVar",1.0944079707871193,0.10933827947171768,-0.041868663672303685,0.2595942785691585,Accept,1.3821790199951745,Accept,Accept,0.7974274938340505
1.0112423418265908,0.9109163901504723,0.03233340375716959,-0.1411850813085427,0.15494040564833514,Accept,"Gender, Age, ProgVar",1.5998755330769046,0.03233340375716959,-0.1161122218983891,0.18623645999459781,Accept,1.5730440042735896,Accept,Accept,0.5791949518244817
0.9231509163420474,0.9494076144528651,0.12414311574418138,-0.08492644029529339,0.2565862209738994,Accept,"Gender, Age, ProgVar",1.196155822435818,0.12414311574418138,-0.047842624267999186,0.30735058335809784,Accept,1.3096322680246768,Accept,Accept,0.7361034206046213
0.9234649568792421,1.0007933151195705,0.02988860851221073,-0.14387543527854427,0.2480238311538299,Accept,"Gender, Age, ProgVar",1.412953446135947,0.02988860851221073,-0.15373198032499114,0.2304038363365321,Accept,1.3265755738238514,Accept,Accept,0.6956129291278595
1.052163455465144,1.1167763355092748,-0.03010565982476168,-0.25002109607058987,0.08920345709989486,Accept,"Gender, Age, ProgVar",1.4751074888167883,-0.03010565982476168,-0.18571761571933004,0.14523091503743712,Accept,1.4932976344608568,Accept,Accept,0.8218934410170534
1.0252742732288203,1.1058466112306191,-0.12582279104323593,-0.3041915452277945,0.04847806872097603,Accept,"Gender, Age, ProgVar",1.4128342717211169,-0.12582279104323593,-0.31777591521135784,0.04565727178705142,Accept,1.4507437455288963,Accept,Accept,0.35744331387447376
0.9139354575432099,0.9409115424834954,0.06998888359918311,-0.12853671124921084,0.2628236678742671,Accept,"Gender, Age, ProgVar",1.581261754966437,0.06998888359918311,-0.12177779437673876,0.2702471092835269,Accept,1.5286526653447237,Accept,Accept,0.7429536573635624
1.182169085770526,1.0713186552831029,-0.13798906615821135,-0.26985423465485237,0.04636770766287388,Accept,"Gender, Age, ProgVar",1.2592890173153521,-0.13798906615821135,-0.2998761715492465,0.016233489000918366,Accept,1.257181301541285,Accept,Accept,0.49423092813120567
0.7711236150984513,0.9159450277415679,0.07184803467304134,-0.10828431133006777,0.25392304550398476,Accept,"Gender, Age, ProgVar",1.483135260442377,0.07184803467304134,-0.12304926491257676,0.2518205246188892,Accept,1.3525312391868018,Accept,Accept,0.6556709381002643
0.9742500163132379,0.967578129258067,0.06689049244886505,-0.1771478141475048,0.15950000450491578,Accept,"Gender, Age, ProgVar",1.0813755366128097,0.06689049244886505,-0.10364396827402506,0.23943517265140365,Accept,1.244268584903366,Accept,Accept,1.197619121635288
0.8359805858153061,0.9402252017946301,0.10144800375497218,-0.1202927067635365,0.3062987173758354,Accept,"Gender, Age, ProgVar",1.1140767924081119,0.10144800375497218,-0.09595200112712375,0.3071312253237977,Accept,1.1528157555679408,Accept,Accept,0.6833998779824849
