N,Power.Risk,Power.Risk_Noise,Power.Intx,Power.Intx_adj,Power.SDIR
100,1,1,1,1,0.764
150,1,1,1,1,0.905
200,1,1,1,1,0.967
30,0.765,0.59,0.882,0.528,0.346
50,0.975,0.942,0.993,0.978,0.486
