Beta_Trt,Beta_Risk,Beta_intx,Lower.CI,Upper.CI,rejection.Risk,SSVS_results,Prediction_Error,Beta_intx_Noise,Lower.CI_Noise,Upper.CI_Noise,rejection.Risk_Noise,Prediction_Error_Noise,rejection.Opt_MultInt,rejection.interaction,rejection.interaction_adj,rejection.SDIR,SDIR
0.6146673050990304,1.02709545207864,-0.05105578188615347,-0.28491668471845455,0.03779424239040087,Accept,"Z1, Z2, Z4",1.4351865224137106,-0.05105578188615347,-0.23953587745984606,0.1627006123981272,Accept,1.3318703822248907,Accept,Accept,Accept,Accept,1.0435250251215833
0.5177080061736493,1.0167712602687637,0.017681168399067613,-0.19487710982718112,0.19123601184394698,Accept,"Z2, Z4",1.6943937978409391,0.017681168399067613,-0.14992679952770685,0.21950657543697766,Accept,1.3953671407863308,Accept,Accept,Accept,Accept,0.6409496246288441
0.3735098260415782,1.0021727505386904,-0.06587507577568621,-0.1870877160420334,0.25175975220201646,Accept,"Z4, X9",2.048387929508807,-0.06587507577568621,-0.26482744400611835,0.12455932315183849,Accept,1.1503282823496188,Reject,Accept,Accept,Accept,0.8652442247123602
0.6702164414123717,1.0286258713692333,-0.06798882493173476,-0.22701279204304858,0.10606741718113202,Accept,"Z1, Z2, Z4",1.266965794367651,-0.06798882493173476,-0.20039116237874016,0.0527699154801373,Accept,1.1813143003867805,Accept,Accept,Accept,Accept,0.3948994287693316
0.4489028011900777,0.9545873704345123,-0.03614788794513004,-0.19116838707164915,0.3359991141328522,Accept,"Z3, Z4, X4",1.3582083089673553,-0.03614788794513004,-0.1865221985563974,0.09723342131288351,Accept,1.154284238865026,Reject,Accept,Accept,Accept,0.5879514018596212
0.44211187436808796,1.0167566944928579,-0.03279844341171658,-0.2516432603419493,0.2324504860827197,Accept,"Z2, Z4",1.6589651527888702,-0.03279844341171658,-0.18321170986179855,0.16043209376540368,Accept,1.463086498242667,Accept,Accept,Accept,Accept,1.1066248571257722
0.506795236073777,1.0507341531318144,0.0740435119338904,-0.10001308721092032,0.09528117032064908,Accept,"Z2, Z4",1.379107041939052,0.0740435119338904,-0.021361434583079437,0.17991754779331953,Accept,1.3795724944976255,Accept,Accept,Accept,Accept,0.957652495317034
0.5829559925221641,0.9988562966497219,-0.13655336533281584,-0.3843489837712943,0.12088175623660602,Accept,"Z3, Z4, X9",1.3650890021349995,-0.13655336533281584,-0.2639566536689294,0.03466801053111597,Accept,1.140661294268586,Reject,Accept,Accept,Accept,0.7556877333116521
0.2958510370484435,0.9845566749319827,0.023444046840714154,-0.2626747896791465,0.28411445657050455,Accept,"Z2, Z4",1.2933666793696585,0.023444046840714154,-0.1312429894448442,0.16905814610377656,Accept,1.2153937310943883,Accept,Accept,Accept,Accept,0.4694863406191352
0.4567643106741696,0.9708629716229603,0.04576709798235879,-0.12124462117201279,0.10160923164200164,Accept,"Z1, Z2, Z4",1.2717717504504307,0.04576709798235879,-0.12046493359321417,0.22312290401614557,Accept,1.2414213255205513,Reject,Accept,Accept,Accept,0.6669239729221839
