Beta_Trt,Beta_Risk,Beta_intx,Lower.CI,Upper.CI,rejection.Risk,SSVS_results,Prediction_Error,Beta_intx_Noise,Lower.CI_Noise,Upper.CI_Noise,rejection.Risk_Noise,Prediction_Error_Noise,rejection.Opt_MultInt,rejection.interaction,rejection.interaction_adj,rejection.SDIR,SDIR
0.43901447220207607,0.8739881370192846,0.2755255983736046,0.11150453673819208,0.41705929602222236,Reject,"Z1, Z2, Z4",1.4247693070188392,0.2755255983736046,0.12386669984055697,0.42370532569306485,Reject,1.4702319772645982,Reject,Reject,Reject,Accept,0.26381457578152107
0.4188195903644324,0.918684140356669,0.2519069694855069,0.08722893716772648,0.4020753673105166,Reject,"Z1, Z2, Z4",1.4413910791899636,0.2519069694855069,0.09390140675351585,0.402580012503597,Reject,1.4288463244503824,Reject,Reject,Reject,Accept,0.5081275591606056
0.49026840581767483,0.8230026363005103,0.19199967903222553,0.10429475534876095,0.4325442532471223,Reject,"Z1, Z2, Z4",1.5648427262733495,0.19199967903222553,0.02784930174727896,0.35214322403480924,Reject,1.4854630058579201,Reject,Reject,Reject,Accept,0.3644029998794514
0.49152221056606665,0.9715209850347698,0.05606362989664543,-0.029432301950400554,0.2643430997450124,Accept,"Z1, Z2, Z4",1.5610246960999554,0.05606362989664543,-0.08513620196444555,0.19819402817019802,Accept,1.4876593399257196,Reject,Reject,Accept,Accept,0.2962122986564604
0.575382843660772,0.9450633548007126,0.12316099572523366,-0.06356232505379222,0.2974324737258911,Accept,"Z1, Z2, Z4",1.5925207647534974,0.12316099572523366,-0.052061710072596176,0.30444239472383244,Accept,1.5365832751148603,Reject,Reject,Reject,Accept,0.5508931333533174
0.6100992447660356,0.9817268162213132,0.1300592755795638,-0.04229180768723691,0.2978269160188297,Accept,"Z1, Z2, Z4",1.362415394674603,0.1300592755795638,-0.027282299116762637,0.29148084298317717,Accept,1.3819950830462657,Reject,Reject,Reject,Accept,0.6004468511019695
0.5503593163980458,0.9257380024081888,0.13038209434643985,-0.011266433744548325,0.27744815239884474,Accept,"Z1, Z2, Z4",1.3397240883574328,0.13038209434643985,-0.009085831808516714,0.2639847724827465,Accept,1.323079643731263,Reject,Reject,Reject,Accept,0.723774355357046
0.6406591414622573,0.9556370462838195,0.02700639059835718,-0.0985612222998959,0.25012245879093364,Accept,"Z1, Z2, Z4",1.5387274129181614,0.02700639059835718,-0.13467219847398587,0.19860827293826047,Accept,1.4692588470195034,Reject,Reject,Accept,Accept,0.5271012527413956
0.5837202082479387,0.9294030476922223,0.09122948227254137,-0.017423861092395746,0.21175599196398281,Accept,"Z1, Z2, Z4",1.29359130823856,0.09122948227254137,-0.030663822790711677,0.19955309302132548,Accept,1.2133129499708353,Reject,Reject,Reject,Accept,0.21322305883740675
0.5795506869511313,0.9723081413566704,0.10664181748363705,-0.03839801663533624,0.2639003028331842,Accept,"Z1, Z2, Z4",1.3396280243744483,0.10664181748363705,-0.039924601887038474,0.25179016473639365,Accept,1.261736819920081,Reject,Reject,Accept,Accept,0.15911385890785923
0.3795362746952848,0.8392699851287168,0.302727906887651,0.1680340393571979,0.48925056665570965,Reject,"Z1, Z2, Z4",1.203394582139742,0.302727906887651,0.1452608458773814,0.4549885262714762,Reject,1.151953890094036,Reject,Reject,Reject,Accept,0.41931279016247097
0.800051401802595,0.9827287347593681,0.02930570956874547,-0.10748198713332117,0.18819048477640457,Accept,"Z1, Z2, Z4",1.243160952596265,0.02930570956874547,-0.10396341938953862,0.16132267393576014,Accept,1.2652938336433575,Reject,Reject,Reject,Accept,0.6075449907836715
0.6442196787554418,0.9378530473269776,0.09477793715084942,-0.014904320992364859,0.2100183974639973,Accept,"Z1, Z2, Z4",1.476082219250677,0.09477793715084942,-0.018793994327299002,0.20160639003780081,Accept,1.3529707398462887,Reject,Reject,Accept,Accept,0.4967063841252605
0.5562316308131936,0.8864870937810175,0.18479826479209005,0.059062732338573246,0.32846279369289233,Reject,"Z1, Z2, Z4",1.4460407015478203,0.18479826479209005,0.05215118834128619,0.3057372401420769,Reject,1.3428682494275563,Reject,Reject,Reject,Reject,1.1905879577230833
0.6718554134689932,0.9934191622305676,0.03290891043296254,-0.13484955344655555,0.14547027134969323,Accept,"Z1, Z2, Z4",1.544357477242267,0.03290891043296254,-0.10726201865271473,0.15611880710600426,Accept,1.4369800711444054,Reject,Reject,Reject,Accept,0.7899187806229182
0.5247697270563855,0.953017203780306,0.14482925629470209,-0.033838750737233504,0.2926599087275008,Accept,"Z1, Z2, Z4",1.3842757511688513,0.14482925629470209,-0.0012515638237522407,0.299058122323207,Accept,1.377373983536873,Reject,Reject,Accept,Accept,0.5555162511753914
0.5132102296984609,0.89363101202087325,0.09897445601250483,0.023934158471560524,0.300742964473921,Reject,"Z1, Z2, Z4",1.2688075932253713,0.09897445601250483,-0.044342649530673184,0.2311476101912332,Accept,1.2456322526082564,Reject,Reject,Accept,Accept,0.2033666822129712
0.2544976238885403,0.8624900280892465,0.2284761199988144,0.11398338609946583,0.4064889674519404,Reject,"Z1, Z2, Z4",1.3517422124558827,0.2284761199988144,0.08992728396053302,0.3710250724824935,Reject,1.2096769831519496,Reject,Reject,Reject,Accept,0.5763253611983379
0.40777642130028313,0.9090742894695566,0.15282496635568768,0.03261901311522724,0.3095770178093973,Reject,"Z1, Z2, Z4",1.4508787904189424,0.15282496635568768,0.02124265786323795,0.28182993385229244,Reject,1.4106676091111965,Reject,Reject,Reject,Reject,0.9168309677414436
0.5353282441003955,0.906739722842528,0.1263149804573388,-0.008094489768825694,0.26210019958182235,Accept,"Z1, Z2, Z4",1.5257111555502916,0.1263149804573388,-5.847905850925586e-4,0.2689864806333974,Accept,1.4114026466301408,Reject,Reject,Reject,Accept,0.6776396925258558
0.8322222904834552,0.9825437140692944,-0.027743348559026184,-0.12832419247594223,0.14176481450238299,Accept,"Z1, Z2, Z4",1.5754758189480176,-0.027743348559026184,-0.15239908331012939,0.110967608941562,Accept,1.3910968294344506,Reject,Reject,Accept,Accept,0.3073527147778551
0.4080755432118873,0.9435601412383551,0.22898994646391244,0.06756853814910699,0.412376507080899,Reject,"Z1, Z2, Z4",1.4156833350277749,0.22898994646391244,0.06896365476133792,0.3800184873741603,Reject,1.4344603820212947,Reject,Reject,Reject,Accept,0.36828094502561304
0.4650329502362002,0.8996341814395433,0.11400938820837735,-0.009332593903672642,0.2888518512208254,Accept,"Z1, Z2, Z4",1.310539817175229,0.11400938820837735,-0.033810189526045406,0.26312124040403617,Accept,1.3949616270597103,Reject,Reject,Reject,Accept,0.5522797785870949
0.5367143044002123,0.9034249762979915,0.11269814193004249,0.00866429831276988,0.3228672122962907,Reject,"Z1, Z2, Z4",1.4996007082443046,0.11269814193004249,-0.02840273779456417,0.2591691191263448,Accept,1.4273550960960424,Reject,Reject,Reject,Reject,0.910086244639101
0.574987136494742,0.9138307374824561,0.1174085781744074,0.02415613077570039,0.2911381168523486,Reject,"Z1, Z2, Z4",1.6189017898364693,0.1174085781744074,-0.014840394211244674,0.251973707713992,Accept,1.6479130231988603,Reject,Reject,Reject,Accept,0.649429499148525
0.5329113777259029,0.9162160261501897,0.19563918559346855,0.056615445141110866,0.3631726108317714,Reject,"Z1, Z2, Z4",1.4329549955153311,0.19563918559346855,0.044222471376333304,0.34163911187524476,Reject,1.3819917834763984,Reject,Reject,Reject,Accept,0.8120880489560702
0.4404481740293509,0.9096496978291653,0.14696958973654903,0.030579605920033975,0.3516082703654781,Reject,"Z1, Z2, Z4",1.350637695106262,0.14696958973654903,0.0024349757121184534,0.3017593844806135,Reject,1.4370833958719456,Reject,Reject,Accept,Accept,0.10203992650200878
0.5913235321004147,0.9690919383609468,0.0794305366455815,-0.08756762223984114,0.20344370010084528,Accept,"Z1, Z2, Z4",1.4659718388214074,0.0794305366455815,-0.06076029456719696,0.2204477377042989,Accept,1.5242305755021364,Reject,Reject,Reject,Accept,0.5549410092706362
0.40156675863723845,0.9409091398142104,0.1265336259357436,0.011889002496306547,0.2873006976206108,Reject,"Z1, Z2, Z4",1.4196231396960266,0.1265336259357436,-0.01378191973962644,0.2684652231917778,Accept,1.3576358817063843,Reject,Reject,Accept,Accept,0.8453464473337746
0.624340986839713,0.9556934545698331,0.06318551190797723,-0.06668255492526334,0.23531050588735827,Accept,"Z1, Z2, Z4",1.3608411421839453,0.06318551190797723,-0.0854776975215805,0.21081684119893965,Accept,1.3177066575231486,Reject,Reject,Reject,Accept,0.6350662707378085
0.5863289644950678,0.9536299715444019,0.08014676279676268,-0.02133335682451238,0.22977384926865452,Accept,"Z1, Z2, Z4",1.251048919510152,0.08014676279676268,-0.05394297851327286,0.20630351710598022,Accept,1.3268613828290106,Reject,Reject,Accept,Accept,0.13093697666156742
0.6543677867428597,0.9785203854118955,0.03350199210515126,-0.10453968135290602,0.21043236240088392,Accept,"Z1, Z2, Z4",1.4384916141599668,0.03350199210515126,-0.1202436565220357,0.1783655693894256,Accept,1.4265103687829312,Reject,Reject,Reject,Accept,0.8373851008918936
0.6286431844306877,0.9177750828433341,0.133679161611255,-0.03784637146519458,0.23183679068078136,Accept,"Z1, Z2, Z4",1.401122848728635,0.133679161611255,-0.0011237221719245932,0.25835156627771866,Accept,1.4124361369396323,Reject,Reject,Accept,Accept,0.469539211116878
0.4404483244727662,0.927511934008999,0.13172118679819753,0.01817230008578334,0.310304007592731,Reject,"Z1, Z2, Z4",1.4310284039214238,0.13172118679819753,-0.02036195846583658,0.28057676487425787,Accept,1.4193467686560743,Reject,Reject,Reject,Accept,0.17561750754468508
0.3390661470288214,0.8774577852466833,0.18295851829264173,0.05266514589491886,0.3451330024825683,Reject,"Z1, Z2, Z4",1.5076309531569172,0.18295851829264173,0.04105197572868473,0.3143399814920581,Reject,1.5411887146663057,Reject,Reject,Reject,Accept,0.5872695402858362
0.47648503690637206,0.9286850220775374,0.11167417565442216,-0.0012599849964792537,0.3446117699401638,Accept,"Z1, Z2, Z4",1.2229307914250933,0.11167417565442216,-0.04337254742348852,0.26963340940501784,Accept,1.226557233111209,Reject,Reject,Reject,Accept,0.382657813786746
