Beta_Trt,Beta_Risk,Beta_intx,Lower.CI,Upper.CI,rejection.Risk,SSVS_results,Y,Y_hat,Bias,abs_Bias,MSE,waic,Beta_intx_Noise,Lower.CI_Noise,Upper.CI_Noise,rejection.Risk_Noise,Y_hat_noise,Bias_noise,abs_Bias_noise,MSE_noise,waic_noise,rejection.Opt_MultInt,rejection.interaction,rejection.interaction_adj,rejection.SDIR,SDIR
0.6675853034244387,1.057201180886666,-0.12874896615751968,-0.40942155514254364,0.12123528317819372,Accept,"Z1, Z2, Z4",1.4331990236311436,1.4783596259404843,0.045160602309340686,0.7936488947454294,0.9761599722717179,73.8485154020852,-0.12874896615751968,-0.392648317271779,0.12751765272338864,Accept,1.4784116998674344,0.0452126762362908,0.7910599102485298,0.9627315757553597,91.56371840063368,Accept,Accept,Accept,Accept,0.9661287794316293
0.7537836550932773,1.1278896319316178,-0.10688326944998248,-0.5022890925324304,0.02345134252506767,Accept,"Z1, Z2, Z4",0.9957972513695454,1.3013441157996801,0.3055468644301345,1.0834469902499317,1.7216005144657314,81.48058670406822,-0.10688326944998248,-0.35087303590358015,0.14152502796599983,Accept,1.3014196642140754,0.30562241284452996,1.0216746421188074,1.4884267171692818,97.52654869716179,Accept,Accept,Accept,Accept,1.2247892600183439
0.30205813004151505,0.983632285494664,0.16517240278684214,-0.24399200068026472,0.3518852051910932,Accept,"Z1, Z2, Z4",1.0503168992506917,1.1487270474531228,0.09841014820243119,0.9390376462142603,1.2999691625920682,88.1762397657949,0.16517240278684214,-0.09641942442636804,0.45725874123944554,Accept,1.1480679631267632,0.09775106387607148,0.8839086022802103,1.1464775387735975,102.16776353829201,Accept,Accept,Accept,Accept,1.154651324363005
0.04059858489565403,0.913346079978005,0.1430665390229593,-0.28490074425154305,0.63524763613806845,Accept,"Z2, Z4",1.5579988789907862,1.554216280587979,-0.003782598402807322,0.9887093375819552,1.5004598261859214,99.67240418662895,0.1430665390229593,-0.139437724594901,0.4361032895831247,Accept,1.5540951205734015,-0.0039037584173847338,0.9788714083563427,1.450394710004463,93.39133250329544,Accept,Accept,Accept,Reject,1.2415551413378512
0.6760609593796324,1.0864031641503533,-0.09504186231812149,-0.34045073047823066,0.15610836967725583,Accept,"Z1, Z2, Z4",0.9375741811947276,1.0851157069764272,0.1475415257816996,0.84256763715693,1.0386106334809053,84.21644691354948,-0.09504186231812149,-0.32206776206564014,0.15516852075898765,Accept,1.0860669296706367,0.148492748475909,0.8103050299747726,0.9527237093645102,99.06714227205823,Accept,Accept,Accept,Accept,0.18028113110328756
0.519776447631827,1.1046621909613188,-0.06046716263938177,-0.5407451639759443,0.07778815682984844,Accept,"Z2, Z4",1.326342907042429,1.1231094439446319,-0.20323346309779722,0.9164216796155287,1.3056020756340374,101.81962129282377,-0.06046716263938177,-0.3294915141725406,0.22522693011669814,Accept,1.1222978056941995,-0.20404510134822967,0.8602484222406575,1.1394508206033662,114.50077035950636,Reject,Accept,Accept,Accept,1.3385755339784613
0.7859703171049346,0.9823489927812789,-0.011566010191577934,-0.49582218039586345,0.5168799981115902,Accept,"Z2, Z4",1.6217537764998355,1.4349366255711715,-0.18681715092866413,0.9619740598836546,1.367959318825532,113.4518589853074,-0.011566010191577934,-0.3813302351818936,0.3230717104328451,Accept,1.4391923968548435,-0.1825613796449921,0.8339289904313257,0.9944342955142189,118.01968736409009,Accept,Accept,Accept,Accept,0.6518237482072352
0.16867026005444585,0.8915188900816179,0.10507467139902937,-0.16320687509196855,0.4034540773506611,Accept,"Z1, Z2, Z4",1.6235517325510498,1.5504493340350036,-0.07310239851604632,0.806380586709011,0.9572624963148293,64.9947546451093,0.10507467139902937,-0.13490916492057048,0.3401675145519783,Accept,1.5505107948614019,-0.07304093768964803,0.7365557911769868,0.872466714106945,68.6959630954863,Accept,Accept,Accept,Accept,0.4400102558754963
-0.018072925371770424,0.7751224548088498,0.08489364364064497,-0.06894705068768417,0.6566014277760924,Accept,"Z1, Z2, Z4",1.0394584309562467,1.1359206398987622,0.09646220894251548,0.7811914912543582,0.9418066297303279,86.49400266786814,0.08489364364064497,-0.21731894455341422,0.4038038735544194,Accept,1.1378224650743458,0.09836403411809917,0.736185484302634,0.9030846271263616,90.08294183909604,Accept,Accept,Accept,Accept,0.672608086094275
0.7625054863035258,1.071286810041792,-0.23029958914298293,-0.6402032505724119,0.16924420152783862,Accept,"Z1, Z2, Z4",1.3925316587450085,1.155087814375626,-0.2374438443693825,1.0227773308462063,1.5804724483327002,117.54286913631319,-0.23029958914298293,-0.6032218069722347,0.15422360007414873,Accept,1.1530566069147026,-0.23947505183030593,1.0009320748773884,1.569196123946879,135.63049343215027,Accept,Accept,Accept,Accept,0.27213620514129927
