Beta_Trt,Beta_Risk,Beta_intx,Lower.CI,Upper.CI,rejection.Risk,SSVS_results,Prediction_Error,Beta_intx_Noise,Lower.CI_Noise,Upper.CI_Noise,rejection.Risk_Noise,Prediction_Error_Noise,rejection.interaction,rejection.interaction_adj,rejection.SDIR,SDIR
1.4094855771779378,0.9585955715405898,0.14650858670342448,-0.04109279157249354,0.24791733402399838,Accept,"Z1, Z2, Z4",2.2055200727749513,0.14650858670342448,0.007761056886995108,0.27425384656703833,Reject,2.022942012948342,Reject,Reject,Accept,0.4409083983430295
1.0502741236949804,0.8758430185274235,0.2132928565321585,0.11796937460230672,0.3853820525949808,Reject,"Z1, Z2, Z4",1.9104278198840243,0.2132928565321585,0.07999524088670065,0.3482928202445215,Reject,1.818186943472336,Reject,Reject,Accept,0.42130928463495326
0.9876758868044716,0.8271885465276201,0.23998684444244403,0.14822092619610033,0.4052399868869138,Reject,"Z1, Z2, Z4",1.6177268200673243,0.23998684444244403,0.12189825345709773,0.35814741799074573,Reject,1.7285205175732405,Reject,Reject,Accept,0.5732371330021623
1.1467633702901883,0.8487739280106158,0.21769772924995742,0.1196721749171275,0.3925006112516366,Reject,"Z1, Z2, Z4",2.208544075414575,0.21769772924995742,0.07279901087065604,0.3673964129884869,Reject,2.086930304455548,Reject,Reject,Accept,0.65309796109029294
1.0163729665413281,0.7994143147960742,0.24219603408682738,0.15108362653220236,0.4064432422480364,Reject,"Z1, Z2, Z4",1.8459789799518098,0.24219603408682738,0.10268798879795578,0.37260249423356373,Reject,1.9383229277546965,Reject,Reject,Reject,1.1925385113917102
1.1318102292091328,0.8534558742499767,0.27285511244714006,0.10103241163499388,0.41216485405483505,Reject,"Z1, Z2, Z4",1.8797847547510866,0.27285511244714006,0.11206659909073408,0.4270416509068939,Reject,1.7117050170147612,Reject,Reject,Reject,1.2393226711197494
1.0098479623519525,0.833875520566203,0.19507859956048962,0.11301705911825374,0.37713163995223836,Reject,"Z1, Z2, Z4",1.9092557145716191,0.19507859956048962,0.058095415945498156,0.3245345447766928,Reject,1.670445416439529,Reject,Reject,Reject,1.2122276066421018
1.130953572090861,0.9525668940803125,0.1990535951595385,0.060646885796481254,0.4143974544779799,Reject,"Z1, Z2, Z4",1.9034457552723318,0.1990535951595385,0.01016405977657621,0.3792851113412378,Reject,1.929816923036317,Reject,Reject,Accept,0.6723387481233831
0.9701614607936044,0.8785363443744156,0.313988022306539,0.17528424021067016,0.4712732145373954,Reject,"Z1, Z2, Z4",1.858936137842298,0.313988022306539,0.1624980329372398,0.4580538353942474,Reject,1.8022959943244852,Reject,Reject,Accept,0.5736942733018326
1.0603897360691998,0.9391913771643596,0.24450148558329304,0.12039429581368444,0.4147552504375607,Reject,"Z1, Z2, Z4",2.08032073105293,0.24450148558329304,0.0887924823216281,0.3906082431980863,Reject,1.8210665799548067,Reject,Reject,Accept,0.6226349797632638
