Beta_Trt,Beta_Risk,Beta_intx,Lower.CI,Upper.CI,rejection.Risk,SSVS_results,Y,Y_hat,Bias,abs_Bias,MSE,waic,Beta_intx_Noise,Lower.CI_Noise,Upper.CI_Noise,rejection.Risk_Noise,Y_hat_noise,Bias_noise,abs_Bias_noise,MSE_noise,waic_noise,rejection.Opt_MultInt,rejection.interaction,rejection.interaction_adj,rejection.SDIR,SDIR
0.5269803725563057,0.7573657249266693,0.4545430511053592,0.41975783414724394,0.7197321129651084,Reject,"Z3, Z4, X6",0.9356545341145467,0.9433636745653731,0.007709140450826387,1.0748564420969517,1.8437606258958354,406.13973100953103,0.4545430511053592,0.33815212550931056,0.5996090778987262,Reject,0.9526057028580717,0.016951168743525005,1.0566214051478349,1.7664958919403664,397.6478557351634,Reject,Reject,Reject,Reject,1.4164984393376607
0.28239887039215705,0.7219693958987485,0.4025095559072834,0.37752360770218235,0.5600366560642528,Reject,"Z1, Z2, Z4",1.1745587546905378,1.146710171913139,-0.027848582777398677,0.9349174825709239,1.3688453966076677,350.59558954878264,0.4025095559072834,0.31698394840101796,0.49335331373416313,Reject,1.1479676582631126,-0.02659109642742515,0.9616442792846099,1.4505442344629162,361.696257471614,Reject,Reject,Reject,Reject,1.5500669022942382
0.4447666116144591,0.7104601939817621,0.47152048231340166,0.39440703562546237,0.6772129567717119,Reject,"Z1, Z2, Z4",1.0133250256892714,0.974320283694478,-0.039004741994793424,1.0544325087501782,1.7778536922381738,392.45050122139264,0.47152048231340166,0.3527247504493112,0.5872315212246564,Reject,0.9655167946283202,-0.04780823106095119,1.0272084694697237,1.6825650673772292,409.29432166056654,Reject,Reject,Reject,Reject,1.9935206643932653
0.5833339056283825,0.6871723887480493,0.4163929947405756,0.40625970355019164,0.662764076009547,Reject,"Z2, Z4",1.3112533487738645,1.3046017176619402,-0.006651631111924126,1.1991126505840544,2.135307619206788,438.8567376942894,0.4163929947405756,0.3208997720128326,0.5035495830695423,Reject,1.3180572557800954,0.006803907006231003,1.0289165022776918,1.5827287074250054,416.3771182513224,Reject,Reject,Reject,Reject,2.1245359127776946
0.2957154672379305,0.7515489540510569,0.4793608283772018,0.32331206846745053,0.5718120319373474,Reject,"Z1, Z2, Z4",0.8014163040066258,0.8389399057926832,0.03752360178605748,1.1050811206701754,1.930902310544246,366.49211228058675,0.4793608283772018,0.3664712109053428,0.6072403533752546,Reject,0.8502315296976672,0.048815225691041506,1.0776694563063198,1.8247395323875741,382.68272919225564,Reject,Reject,Reject,Reject,1.7107900071038933
0.41163131710484346,0.7727168370793194,0.4836559709734144,0.37358016337747346,0.6294325261262532,Reject,"Z2, Z4",0.9262363322667966,1.0114478915022407,0.08521155923544411,1.1096059389806414,1.9082000212553116,405.61479551526355,0.4836559709734144,0.3772289642084344,0.6198507181834491,Reject,1.016363475443939,0.09012714317714253,1.0082257565011803,1.6119301454727788,412.5705098313766,Reject,Reject,Reject,Reject,1.9177251596602207
0.3421020144986602,0.6715685909314014,0.5005141319363462,0.4843185532450971,0.6721107335642085,Reject,"Z1, Z2, Z4",0.8870320213223015,0.908729020637857,0.021696999315555444,1.0586750251985264,1.6928453305372884,375.1240635199681,0.5005141319363462,0.3462797653486554,0.6015047658176069,Reject,0.915876452003669,0.028844430681367404,1.0243273289517518,1.584853366117215,388.165999297534,Reject,Reject,Reject,Reject,2.0468641577863598
0.2730090174635937,0.7005106265352434,0.595667568912047,0.53875180375059,0.7357883473796323,Reject,"Z1, Z2, Z4",1.1378322708857347,1.0678929555369676,-0.06993931534876714,1.0573888935169058,1.7250704283491394,401.65310357103056,0.595667568912047,0.4920521064969383,0.688248638529547,Reject,1.060876160738264,-0.07695611014747072,1.0506708483590619,1.7070932357973931,418.29460902938627,Reject,Reject,Reject,Reject,1.8942250657036837
0.37966166615215047,0.7710397759054314,0.42851367271603763,0.3096490430212447,0.5663205352021649,Reject,"Z1, Z2, Z4",1.2075429120054275,1.2265319915116963,0.018989079506269064,1.068634550101865,1.8882063521160026,375.1693433691428,0.42851367271603763,0.32409504735686107,0.5444071974987281,Reject,1.2201748742993506,0.012631962293923129,0.9866886038391655,1.6115758913300884,386.17216347866236,Reject,Reject,Reject,Reject,1.3536866302009234
0.581177465543651,0.7304083187052697,0.38339288461189924,0.26878616170174396,0.4721846774058942,Reject,"Z1, Z2, Z4",1.3291523770822489,1.3586623795300918,0.029510002447842923,0.9632919488684234,1.3774961812269164,366.80953208921886,0.38339288461189924,0.2892601103158009,0.49860011087094713,Reject,1.3580821461078179,0.028929769025568833,1.0070269721024823,1.5730825159470616,387.9086779789462,Reject,Reject,Reject,Reject,1.4184696060791144
