N,Power.Risk,Power.Risk_Noise,Power.MultInt,Power.Intx,Power.Intx_adj,Power.SDIR
100,0.04,0.06,0.14,0.1,0.02,0.02
200,0.06,0.08,0.16,0.12,0,0.04
50,0.02,0.06,0.12,0.08,0.02,0.04
