N,Power.Risk,Power.Risk_Noise,Power.Intx,Power.Intx_adj,Power.SDIR
100,0.042,0.041,0.042,0.004,0.049
150,0.056,0.054,0.054,0.002,0.046
200,0.053,0.052,0.048,0.003,0.044
30,0.04,0.042,0.034,0.005,0.037
50,0.046,0.048,0.043,0.004,0.055
