N,SSVS.X1,SSVS.X2,SSVS.X3,SSVS.X4,SSVS.X5,SSVS.X6,SSVS.X7,SSVS.X8,SSVS.X9,SSVS.X10
100,0.002,0,0.001,0,0.001,0.001,0,0,0.001,0.002
200,0,0,0,0,0,0.001,0.001,0,0,0
50,0.008,0,0.004,0.003,0.003,0.004,0,0.004,0.003,0.005
