N,Bias,Bias_noise,abs_Bias,abs_Bias_noise,MSE,MSE_noise,waic,waic_noise
100,0.003639512092894495,0.0036514444882182083,0.9946403820199459,0.9741778992924209,1.5473341136683048,1.4820258533356425,232.96617978077495,244.01892826580814
150,-3.885402281789181e-4,-3.7150760199256716e-4,0.9966989681613685,0.9836692801675826,1.5543589536602755,1.5118744522816814,344.835902494753,356.371836218797
200,-0.002989825587394009,-0.0029937762579882255,0.9983163014539712,0.9887947661738176,1.5562176521146731,1.525715495895616,458.33667378279074,469.66818233927484
30,0.0026064690657287034,0.0027295938799575957,1.029557370530392,0.8971173788699234,1.6606985839639825,1.2608915890153873,76.76516005899943,82.19894961480472
50,0.002132703425431227,0.002093535241550151,1.005568816822303,0.9444046806363032,1.5808676780252182,1.3885076973424304,121.90954369821588,130.65882676020252
