N,Power.Risk,Power.Risk_Noise,Power.Intx,Power.Intx_adj,Power.SDIR
100,0.393,0.321,0.62,0.249,0.139
150,0.545,0.465,0.797,0.438,0.152
200,0.691,0.646,0.924,0.661,0.205
30,0.096,0.072,0.12,0.013,0.084
50,0.158,0.136,0.251,0.065,0.081
