N,Power.Risk,Power.Risk_Noise,Power.Intx,Power.Intx_adj,Power.SDIR
100,0,0.3,0.1,0,0
150,0,0.1,0,0,0.1
200,0,0.1,0.1,0,0
30,0.1,0,0.1,0,0
50,0.1,0.1,0,0,0
