N,Power.Risk,Power.Risk_Noise,Power.Intx,Power.Intx_adj,Power.SDIR
100,0.052,0.058,0.056,0.008,0.06
200,0.041,0.048,0.054,0.002,0.052
50,0.043,0.046,0.052,0.002,0.055
