N,Power.Risk,Power.Risk_Noise,Power.Intx,Power.Intx_adj,Power.SDIR
100,0.72,0.613,0.998,0.936,0.231
200,0.969,0.94,1,1,0.35
50,0.327,0.247,0.742,0.415,0.147
