N,Power.Risk,Power.Risk_Noise,Power.Intx,Power.Intx_adj,Power.SDIR
100,0.385,0.337,0.621,0.252,0.146
150,0.553,0.495,0.782,0.428,0.159
200,0.716,0.672,0.917,0.675,0.204
30,0.105,0.099,0.148,0.012,0.093
50,0.186,0.141,0.261,0.051,0.097
