N,Power.Risk,Power.Risk_Noise,Power.Intx,Power.Intx_adj,Power.SDIR
100,0.4,0.4,0.7,0.5,0.1
150,0.6,0.6,0.7,0.4,0.1
200,0.6,0.6,1,0.6,0.2
30,0,0.3,0,0,0
50,0.2,0.3,0,0,0.1
