Beta_Trt,Beta_Risk,Beta_intx,Lower.CI,Upper.CI,rejection.Risk,SSVS_results,Prediction_Error,Beta_intx_Noise,Lower.CI_Noise,Upper.CI_Noise,rejection.Risk_Noise,Prediction_Error_Noise,rejection.Opt_MultInt,rejection.interaction,rejection.interaction_adj,rejection.SDIR,SDIR
0.13639119697733793,1.080019450058811,0.04520195150709919,-0.37540497839407033,0.1398558536421175,Accept,Z3,1.2112060885142142,0.04520195150709919,-0.1513202762439212,0.22169877152457163,Accept,1.1932126075375604,Accept,Accept,Accept,Accept,0.27262443891816845
-0.6313360608951165,0.7311806517753143,0.13440834545300234,0.10512510188025664,1.0902136376081986,Reject,X1,0.9074776093090245,0.13440834545300234,-0.030661331644644352,0.2858573679293734,Accept,1.3237119430037367,Reject,Reject,Accept,Accept,0.28842604596922355
-0.21355241067382194,0.9785952157563624,0.01889907678567274,-0.3025643469647664,0.27798477699770735,Accept,Z3,1.2076129128845285,0.01889907678567274,-0.14387617011049927,0.21359129945478209,Accept,1.0657418171642674,Accept,Accept,Accept,Accept,0.3181157936362255
0.38224569643613154,1.2287691094467004,-0.23615696202164604,-0.5482071574904108,-0.12748046380667316,Reject,Z3,1.076414616067126,-0.23615696202164604,-0.4455119770728657,0.015530677146176189,Accept,1.046699733945525,Accept,Reject,Accept,Accept,0.07950711656949745
0.2904292172962481,1.0996427314778618,-0.14628512451970055,-0.7853052360570199,-0.04328624953238745,Reject,Z3,0.9037413870970462,-0.14628512451970055,-0.6000185721870193,0.45196712760856894,Accept,0.8627195266698574,Accept,Accept,Accept,Accept,0.3361171031962185
-0.10211641024617123,0.9343062890863452,0.03412049035595799,-0.16822568403850213,0.43607506541893604,Accept,Z3,1.6571726937693902,0.03412049035595799,-0.18573560688571367,0.2125505714724907,Accept,1.5909423900891915,Accept,Accept,Accept,Accept,0.354077229697849
-0.10311840928266738,0.9007249727981055,0.0022325550631488414,-0.02728043136690759,0.4118829104494604,Accept,Z3,1.4874376316514626,0.0022325550631488414,-0.1575897606592972,0.10517451492001198,Accept,1.424931086820009,Accept,Accept,Accept,Accept,0.0986398984463309
-0.008317635977006521,0.89751189009691,0.08931804776431207,-0.0033401806583106316,0.42505073754352707,Accept,Z3,1.3372192649596615,0.08931804776431207,-0.16439514606848188,0.2868947324790177,Accept,1.32139192395748,Accept,Accept,Accept,Accept,0.22552144917293232
0.1511070185584422,1.0226271225645482,-0.16017563564957465,-0.41786548614469654,0.12417379031515563,Accept,Z3,1.1401866983771765,-0.16017563564957465,-0.37193959526594256,0.04333846150833014,Accept,1.0679092760273663,Accept,Accept,Accept,Accept,0.0933708012157957
-0.12918685390120602,1.0214587829435593,-0.09706903635768456,-0.23519450077702608,0.17594001933941844,Accept,Z3,1.3182941798733867,-0.09706903635768456,-0.2515704985199282,0.05849859025963382,Accept,1.3120750113397974,Accept,Accept,Accept,Accept,0.3226167215017564
