Beta_Trt,Beta_Risk,Beta_intx,Lower.CI,Upper.CI,rejection.Risk,SSVS_results,Prediction_Error,Beta_intx_Noise,Lower.CI_Noise,Upper.CI_Noise,rejection.Risk_Noise,Prediction_Error_Noise,rejection.interaction,rejection.interaction_adj,rejection.SDIR,SDIR
0.9503033093306977,1.0460076197073036,-0.041539968938451535,-0.21315827534939905,0.07515015696283592,Accept,"Z1, Z2, Z4",1.6578311807108181,-0.041539968938451535,-0.18507243031843446,0.089729427285993,Accept,1.5329828703111879,Reject,Reject,Accept,0.5039860481996615
0.7815827059667575,1.0058500189278174,-0.021999540749259566,-0.13984742478461076,0.11576106766642003,Accept,"Z1, Z2, Z4",1.3774930835075088,-0.021999540749259566,-0.15389168061348632,0.11159345814279883,Accept,1.3863780221556854,Reject,Reject,Accept,0.6429238785190304
0.5153658606586666,0.8929162537479913,0.14668358125171488,0.019255726645704088,0.26774838751997754,Reject,"Z1, Z2, Z4",1.2194536583182372,0.14668358125171488,0.02780390595843545,0.25453274373789075,Reject,1.287043908487595,Reject,Reject,Reject,0.9237536109708889
0.6780273412691495,0.9562253598505298,0.08556918984292333,-0.02706379371534111,0.23799670566807737,Accept,"Z1, Z2, Z4",1.598399623453974,0.08556918984292333,-0.04016291373678115,0.22629789819657303,Accept,1.5649212083175892,Reject,Reject,Accept,0.4682714533091692
0.6533752910474183,0.9193621190885993,0.10709857605076445,-0.026182762168671485,0.23866758684386824,Accept,"Z1, Z2, Z4",1.5223103156091495,0.10709857605076445,-0.031177592056926356,0.243632743872889,Accept,1.5151408454731907,Reject,Reject,Reject,1.0706328438021562
0.5639971839338535,0.892020850001952,0.1876633965258726,0.04398021940548803,0.3590182805033317,Reject,"Z1, Z2, Z4",1.349093445776813,0.1876633965258726,0.039227585328477234,0.34131240845066463,Reject,1.2199805499892105,Reject,Reject,Reject,1.0437716390798417
0.4919590515858489,0.902144455412453,0.1508531135238768,-0.0014318266313502852,0.2765432260606849,Accept,"Z1, Z2, Z4",1.3431943984137515,0.1508531135238768,0.01443258257530073,0.28362782198861997,Reject,1.2579683658132907,Reject,Reject,Accept,0.8466247355893382
0.7123925571619911,1.034578616803119,0.0324758625099949,-0.11650891704015054,0.1718314730535162,Accept,"Z1, Z2, Z4",1.4110065918817083,0.0324758625099949,-0.12819044606178714,0.1905062030463536,Accept,1.4092969529059365,Reject,Reject,Accept,0.4996172351497843
0.4553168276303977,0.9232344082166657,0.17719944324052248,0.050407123485870495,0.34777384199038197,Reject,"Z1, Z2, Z4",1.4346287665930442,0.17719944324052248,0.029869606425691676,0.3213873108373768,Reject,1.388271129403423,Reject,Reject,Accept,0.25032348680833455
0.5771181584146534,0.9655883580929686,0.15545348187568472,0.012554291787378637,0.34117865341242043,Reject,"Z1, Z2, Z4",1.5789579287521653,0.15545348187568472,-3.373164391014885e-4,0.3054969564436628,Accept,1.4295533827554914,Reject,Reject,Accept,0.3846363382536887
0.38156490435307605,0.8544294453327457,0.2542593328557997,0.11909238356426093,0.4300776802748842,Reject,"Z1, Z2, Z4",1.4955089539021966,0.2542593328557997,0.1100489402165224,0.40328880422807134,Reject,1.3515945061893477,Reject,Reject,Reject,1.0657918820758616
0.49376042011132193,0.9612306850658928,0.12534286107339568,-0.024841474671069896,0.25978459805932774,Accept,"Z1, Z2, Z4",1.4256906107978184,0.12534286107339568,-0.01735904990036479,0.2531994149657582,Accept,1.4181040705248378,Reject,Accept,Accept,0.5310153558118864
0.4139929221038971,0.8619070468072767,0.15673593132166527,0.029485751626528566,0.30370104876990267,Reject,"Z1, Z2, Z4",1.4349508035870053,0.15673593132166527,0.03353392988740142,0.2966927495483039,Reject,1.4296353184938604,Reject,Accept,Reject,0.9488175475825261
0.3650564010544279,0.9040523174721213,0.11182953045701416,-0.0291727689828414,0.2799483237260101,Accept,"Z1, Z2, Z4",1.414904280366907,0.11182953045701416,-0.0406666109949787,0.258396869066396,Accept,1.3992804703426236,Reject,Reject,Accept,0.27011652287615273
0.6045946355089192,0.990104042622268,0.07283795170176294,-0.08379114238424805,0.22251644012747343,Accept,"Z1, Z2, Z4",1.3625150035987459,0.07283795170176294,-0.0809440545450621,0.2147517115823105,Accept,1.384226022607447,Reject,Accept,Accept,0.8382546824964322
0.4631582125960889,0.8567188124767247,0.3018866891948352,0.105756867910834,0.38306936994216145,Reject,"Z1, Z2, Z4",1.6917317941115206,0.3018866891948352,0.16556912815246871,0.44244785174182727,Reject,1.535066735549716,Reject,Reject,Accept,0.8017223480530267
0.1646740425541196,0.8517781160128223,0.3318430445018008,0.20133133652397905,0.5532116325679536,Reject,"Z1, Z2, Z4",1.4692879792326143,0.3318430445018008,0.1649270290115789,0.5028914974628421,Reject,1.3386811187276124,Reject,Reject,Reject,1.1555246048230319
0.768601940816724,0.9322883211675581,0.11661568055924917,-0.043623305165572224,0.1957440700358592,Accept,"Z1, Z2, Z4",1.4348584003053926,0.11661568055924917,-0.0056468150080896395,0.2272306100791702,Accept,1.3376669403285928,Reject,Reject,Accept,0.6141441267324216
0.576669975993674,0.9060212070631828,0.15323983660495147,0.05263708201308877,0.33569324857514476,Reject,"Z1, Z2, Z4",1.4759230551629219,0.15323983660495147,0.011532686339872561,0.3004152745561327,Reject,1.4554898634109108,Reject,Reject,Accept,0.6321343017990146
0.635472961037476,0.8965663175736557,0.10028446289899373,-0.02119615529761053,0.24756152460949607,Accept,"Z1, Z2, Z4",1.425584762116602,0.10028446289899373,-0.03206628209381386,0.23285328842441153,Accept,1.4600564441854482,Reject,Accept,Accept,0.3838544366354806
0.5012165865903127,0.9522841692159457,0.20337264939275626,0.03762745682859109,0.37944016868406993,Reject,"Z1, Z2, Z4",1.3913713645149457,0.20337264939275626,0.03139405531620597,0.36551193342690114,Reject,1.5035363497843062,Reject,Reject,Accept,0.6453919929830251
0.7097893724030127,0.9100920176907381,0.09136935083434704,-0.03649515919795458,0.22813024917268737,Accept,"Z1, Z2, Z4",1.2183572562973461,0.09136935083434704,-0.04717040098055372,0.22432794855075783,Accept,1.2464781772667777,Reject,Reject,Accept,0.6398127039283573
0.4304300606529305,0.9206676207947198,0.2176833568125476,0.05195117093187805,0.395129406937485,Reject,"Z1, Z2, Z4",1.371161087194,0.2176833568125476,0.06952484340481618,0.36340114495738735,Reject,1.518161821757449,Reject,Reject,Accept,0.05762041839416651
0.43588009864504595,0.9053317813876363,0.2067005828305223,0.10197176945264987,0.3753742600001238,Reject,"Z1, Z2, Z4",1.1777676856320887,0.2067005828305223,0.06282459037650662,0.3411733761144388,Reject,1.180455200907562,Reject,Reject,Accept,0.4428412753490011
