N,Power.Risk,Power.Risk_Noise,Power.Intx,Power.Intx_adj,Power.SDIR
100,0.09,0.076,0.217,0.037,0.075
150,0.089,0.08,0.303,0.072,0.085
200,0.123,0.108,0.385,0.099,0.101
30,0.032,0.029,0.059,0.006,0.034
50,0.055,0.054,0.109,0.009,0.078
