Beta_Trt,Beta_Risk,Beta_intx,Lower.CI,Upper.CI,rejection.Risk,SSVS_results,Y,Y_hat,Bias,abs_Bias,MSE,waic,Beta_intx_Noise,Lower.CI_Noise,Upper.CI_Noise,rejection.Risk_Noise,Y_hat_noise,Bias_noise,abs_Bias_noise,MSE_noise,waic_noise,rejection.Opt_MultInt,rejection.interaction,rejection.interaction_adj,rejection.SDIR,SDIR
0.8023131405992167,0.830445055332899,0.2528376462185665,0.10112476773615968,0.41229047444518263,Reject,"Z1, Z2, Z4",1.3529246357923979,1.2621435144666182,-0.09078112132577974,1.0789290246796945,1.728194654432919,247.83362822580216,0.2528376462185665,0.08197767673298052,0.41946205112491336,Reject,1.2636601097322788,-0.08926452606011914,1.0697143809648815,1.7006048535979703,266.8820939219236,Reject,Reject,Reject,Reject,1.6285878009191195
0.7385976729664031,0.8607413260685419,0.19144285846692877,0.0767664739465895,0.4306909563084225,Reject,"Z1, Z2, Z4",1.223457994635142,1.3018020365349654,0.07834404189982318,1.0909422887650668,1.780022563210091,242.45854910072413,0.19144285846692877,0.0061860504502387614,0.3694527537973087,Reject,1.3026948098162592,0.07923681518111703,1.1123764364894584,1.7971635052586483,254.08348409203774,Reject,Reject,Reject,Accept,0.5424183018403316
0.6025418319420915,0.8116066357476516,0.27864681605735997,0.1468420998628114,0.4530084080840862,Reject,"Z1, Z2, Z4",1.2399107736890813,1.181776227507452,-0.05813454618162937,0.8190613944012726,1.0590199494637451,235.92579461522035,0.27864681605735997,0.12915640234788056,0.42345676969276536,Reject,1.1814835008041358,-0.05842727288494558,0.9093441238064155,1.3400734044087323,247.82224409094135,Reject,Reject,Reject,Accept,0.9253844566902699
0.7184216582920752,0.8433246101328792,0.19885335600984103,0.09939316805352927,0.42141301636051043,Reject,"Z1, Z2, Z4",0.9752609824059766,1.1415332155193947,0.16627223311341813,1.1119240470010394,2.064173951572029,238.85043368249603,0.19885335600984103,0.020397686493003254,0.3782667315431792,Reject,1.140942989704272,0.16568200729829546,1.0994451522144764,2.0296691886709697,256.69085785529114,Reject,Reject,Reject,Reject,1.5141665080835371
0.7569152964396395,0.8620577796945581,0.26895228173236646,0.12488437214459194,0.4060896633143707,Reject,"Z1, Z2, Z4",1.2659149683256619,1.0578774928692989,-0.20803747545636309,0.8936590148272598,1.3335215985019608,241.31417002348687,0.26895228173236646,0.1312857239913351,0.39897954799325025,Reject,1.0594570510641912,-0.20645791726147064,0.9285620827126077,1.393116853191587,257.2450994843093,Reject,Reject,Reject,Accept,0.7819291187179261
0.8489523092305399,0.8855816720573086,0.3039179718882681,0.129825949691121,0.475856230750001,Reject,"Z1, Z2, Z4",1.00372910920493,1.0562228071548336,0.052493697949903384,1.0559301267002217,1.7756896978820607,251.4083277891819,0.3039179718882681,0.13202182649754252,0.4673757399859316,Reject,1.0555619581952365,0.05183284899030637,0.9752636054363774,1.5701770275017528,263.88086832420527,Reject,Reject,Reject,Accept,1.1468595684774916
0.5479997098493876,0.9114244945577605,0.2654423923073923,0.12448464021565679,0.5134905949998214,Reject,"Z1, Z2, Z4",1.1821740433320804,1.1420031030927436,-0.040170940239336816,0.9251756771335711,1.305771465233022,222.2323139829985,0.2654423923073923,0.08756607920140022,0.4579175106120926,Reject,1.1416683179289773,-0.04050572540310302,0.8520043758820208,1.1027520930472048,235.95775262024694,Reject,Reject,Reject,Reject,1.4795121578430386
0.44397568304944507,0.8352748020006402,0.23718295921583687,0.1139146222157674,0.40744251323884284,Reject,"Z1, Z2, Z4",1.1479223906486238,1.1313120462999797,-0.016610344348644036,0.9045322375227087,1.413201595717061,204.28769856843437,0.23718295921583687,0.09565987827650876,0.37028774931953273,Reject,1.1306387699246834,-0.017283620723940452,0.8116224508478033,1.1620476745333916,212.4662182259836,Reject,Reject,Reject,Reject,1.537342386063032
0.8428181748691058,0.8962604970917248,0.21938050133473544,0.03964187051801936,0.3519969463526774,Reject,"Z1, Z2, Z4",1.146622501150955,1.1484129917481793,0.0017904905972244034,1.0625241243627745,1.8062483918031946,239.68915104299603,0.21938050133473544,0.06784511612864605,0.3752727482157671,Reject,1.147245787465607,6.23286314652075e-4,0.9883244068955392,1.6658018854724486,251.3090806278506,Reject,Reject,Reject,Accept,1.0089615481739473
0.7540995911921107,0.8401499831993497,0.2589575556168103,0.1251037469976418,0.4463088895798303,Reject,"Z1, Z2, Z4",1.251143146971973,1.2199613573673909,-0.031181789604582,0.9881969241046363,1.4812550071860349,244.01105019734436,0.2589575556168103,0.08977903450446452,0.4205407357630818,Reject,1.220307666425135,-0.030835480546837934,1.0217197735410144,1.620624383752807,251.6769184411261,Reject,Reject,Reject,Accept,0.7623613210086391
