N,Power.Risk,Power.Risk_Noise,Power.Intx,Power.Intx_adj,Power.SDIR
100,0.074,0.086,0.193,0.038,0.07
150,0.109,0.1,0.326,0.068,0.074
200,0.113,0.108,0.388,0.098,0.085
30,0.056,0.054,0.064,0.006,0.051
50,0.075,0.064,0.106,0.009,0.063
