N,Power.Risk,Power.Risk_Noise,Power.Intx,Power.Intx_adj,Power.SDIR
100,0.048,0.043,0.045,0.001,0.046
200,0.051,0.055,0.047,0.003,0.046
50,0.049,0.052,0.047,0.002,0.042
