Beta_Trt,Beta_Risk,Beta_intx,Lower.CI,Upper.CI,rejection.Risk,SSVS_results,Prediction_Error,Beta_intx_Noise,Lower.CI_Noise,Upper.CI_Noise,rejection.Risk_Noise,Prediction_Error_Noise,rejection.interaction,rejection.interaction_adj,rejection.SDIR,SDIR
0.29204096903587945,0.7922761443075178,0.2723510673346415,0.1517001946020448,0.4251932025989097,Reject,"Z1, Z2, Z4",1.0532687717833857,0.2723510673346415,0.13580430534750704,0.41146460985211714,Reject,1.1435999594069133,Reject,Reject,Reject,0.9683420610529149
0.56710306461966975,0.9511356314856036,0.05307079276483819,-0.07803235747887675,0.18450744794149754,Accept,"Z1, Z2, Z4",1.5197497868744434,0.05307079276483819,-0.07278650470975138,0.17805395875704066,Accept,1.5305359229963014,Reject,Reject,Accept,0.3006685297405845
0.7821438690377888,0.9772540435689208,0.05967217408588264,-0.10272590227563531,0.18456382567033916,Accept,"Z1, Z2, Z4",1.170730107327577,0.05967217408588264,-0.07342766254849156,0.1934147611562969,Accept,1.3489307129582784,Reject,Reject,Accept,0.6350366718256054
0.6095562947348511,0.8985370849367843,0.11305392243881371,0.0042446291960297755,0.3018424298429119,Reject,"Z1, Z2, Z4",1.6070986884490912,0.11305392243881371,-0.03272929240092036,0.26441119405780694,Accept,1.4421666787364242,Accept,Accept,Accept,0.5964486899368807
0.6416974796315986,0.9060884562440502,0.162238397572009,0.026088832177878683,0.3227331110960616,Reject,"Z1, Z2, Z4",1.573101906716239,0.162238397572009,0.024917897508178674,0.3056455827866225,Reject,1.4862485908302665,Reject,Reject,Accept,0.24307225947179784
0.34531569778805443,0.8955906653492942,0.19638739181939513,0.0696948687768447,0.3463202897409432,Reject,"Z1, Z2, Z4",1.3319235605358408,0.19638739181939513,0.05784335656906683,0.34278046911842797,Reject,1.3430220043366916,Reject,Reject,Accept,0.8354537891683301
0.4977949385279626,0.8612357886421607,0.15401374312718313,0.07126652851892265,0.31704911370820776,Reject,"Z1, Z2, Z4",1.5020798167852012,0.15401374312718313,0.025900069229936276,0.27989600352606175,Reject,1.3680955374119161,Reject,Accept,Accept,0.7830028444296067
0.7641741612876264,0.9574203340531006,0.011515756151830646,-0.09254948277909716,0.1695989499026868,Accept,"Z1, Z2, Z4",1.3382424544436629,0.011515756151830646,-0.13440874765551689,0.15189274056433194,Accept,1.3248986971181531,Reject,Reject,Reject,0.9620986756049047
0.5182319391575748,0.9773163420342491,0.11448165994243534,-0.08121831430704413,0.27356623499887994,Accept,"Z1, Z2, Z4",1.571746567747695,0.11448165994243534,-0.0464787218749145,0.27578276889660946,Accept,1.361307394980289,Reject,Accept,Accept,0.3917138647828062
0.6254573705682026,0.9838923342332894,0.07733926649402638,-0.07650136972534041,0.21781742841597662,Accept,"Z1, Z2, Z4",1.523049072851466,0.07733926649402638,-0.06692976246456166,0.21784156493228835,Accept,1.4743967317816356,Accept,Accept,Accept,0.22406616993661577
