N,Power.Risk,Power.Risk_Noise,Power.Intx,Power.Intx_adj,Power.SDIR
100,0.1,0,0,0,0.1
200,0.3,0.1,0,0,0.3
50,0.1,0.1,0,0,0
4,0,0,0,0,0
5,0,0.1,0,0,0.1
