Beta_Trt,Beta_Risk,Beta_intx,Lower.CI,Upper.CI,rejection.Risk,SSVS_results,Prediction_Error,Beta_intx_Noise,Lower.CI_Noise,Upper.CI_Noise,rejection.Risk_Noise,Prediction_Error_Noise,rejection.Opt_MultInt,rejection.interaction,rejection.interaction_adj,rejection.SDIR,SDIR
0.020234870887636466,0.9678651706718753,0.03787657081047859,-0.08924604710433229,0.20306194510289693,Accept,Z3,1.1320360005896946,0.03787657081047859,-0.05669499371976207,0.12239410792896568,Accept,1.1257998363640314,Accept,Accept,Accept,Accept,0.15903222262898606
0.21431444399670613,1.0198130084467085,-0.031633714328281035,-0.2090101619105569,0.07212409219171964,Accept,Z3,1.223158519737933,-0.031633714328281035,-0.13020757179387962,0.036464432294101415,Accept,1.1842914844711794,Accept,Accept,Accept,Reject,0.3104403577786253
0.34759394910208824,1.0995826853990707,0.018121057005058856,-0.3041290599590183,0.019262267379243456,Accept,Z3,1.3187474348451274,0.018121057005058856,-0.13147162419069347,0.1501051845368253,Accept,1.2880555630512673,Reject,Accept,Accept,Accept,0.09024703221613377
-0.06402553014137795,0.9393040060202429,0.12125238016702128,0.020517088225658897,0.20754034810172114,Reject,Z3,1.2875392156561283,0.12125238016702128,-0.03435504159801368,0.24642265232787652,Accept,1.2838800514738298,Reject,Accept,Accept,Reject,0.3084820521499852
0.08871317556349742,1.0363409238322427,-0.017584640330822108,-0.17469245527695776,0.08946365431907147,Accept,Z3,1.5774519229228903,-0.017584640330822108,-0.18557897681929186,0.1415894441902522,Accept,1.5418850078403301,Accept,Accept,Accept,Accept,0.07442205587362141
0.04277439475320191,0.9942079683974252,-0.009812106671803239,-0.19505481647763295,0.15524905388118693,Accept,Z3,1.4528474350501002,-0.009812106671803239,-0.1502695408675851,0.1323139478567697,Accept,1.472542727184738,Accept,Accept,Accept,Accept,0.2640135801309443
-0.037350365951088683,1.0251948449581805,-0.005932860640686349,-0.19715607177672145,0.054858277078153,Accept,Z3,1.296934279691607,-0.005932860640686349,-0.1288734853876103,0.1544636606829483,Accept,1.2758299576610406,Accept,Accept,Accept,Accept,0.24199751447584494
0.040987665932068484,1.0498190009159931,-0.049035379410013645,-0.27835675592102505,0.05079639669594271,Accept,Z3,1.195861776606565,-0.049035379410013645,-0.16592308027626995,0.05017020714424529,Accept,1.1591862947332887,Accept,Accept,Accept,Accept,0.22758216767949957
-0.041272199874394046,0.9666458337305207,0.10218347647721478,-0.08117522448390199,0.2462795066281364,Accept,Z3,1.0565051008896171,0.10218347647721478,-0.0387766066461359,0.23649922586490146,Accept,1.0212613702319735,Accept,Reject,Accept,Accept,0.23542888343827012
0.004763749970034576,1.0019863981536776,-0.012414068954635054,-0.18657187905529857,0.14960236070766886,Accept,Z3,1.1441477300580953,-0.012414068954635054,-0.19923129604264228,0.13693890041914486,Accept,1.1327510169251989,Accept,Accept,Accept,Accept,0.20501492216214026
