Beta_Trt,Beta_Risk,Beta_intx,Lower.CI,Upper.CI,rejection.Risk,SSVS_results,Prediction_Error,Beta_intx_Noise,Lower.CI_Noise,Upper.CI_Noise,rejection.Risk_Noise,Prediction_Error_Noise,rejection.Opt_MultInt,rejection.interaction,rejection.interaction_adj,rejection.SDIR,SDIR
0.030241597973708862,1.0323565793941778,-0.06440788884195243,-0.23123822285319687,0.15778192850267442,Accept,Z3,1.3071185564563832,-0.06440788884195243,-0.3148684288287687,0.058049027233020176,Accept,1.2684498935905244,Accept,Accept,Accept,Accept,0.11270499714895144
0.0915220109392911,1.0236465764594984,-0.008900513339383267,-0.23246618481722234,0.16399717567646555,Accept,Z3,1.2990820787995059,-0.008900513339383267,-0.26665949275495954,0.12871263534136662,Accept,1.2771451978896584,Accept,Accept,Accept,Accept,0.30893089562105747
-0.10527593446143046,0.9356496979681169,0.04218146127586646,0.03830213459137766,0.2932555795536349,Reject,Z3,1.3367454410774402,0.04218146127586646,-0.1668499160259193,0.20031665691990258,Accept,1.3380017760273717,Accept,Accept,Accept,Accept,0.24256984487057115
0.06890751236241797,0.9965933756092311,0.07522263969929016,-0.1689800467091035,0.17969977407068374,Accept,Z3,1.3451339284166988,0.07522263969929016,-0.12059739080298919,0.21471934011197308,Accept,1.3011863001635176,Accept,Accept,Accept,Reject,0.3924476634057394
-0.016255117660716883,1.0155411609631133,-0.05914196344281197,-0.1703181589512021,0.14983215710535622,Accept,Z3,1.6323129023231606,-0.05914196344281197,-0.24957377602085262,0.09912372406870973,Accept,1.6419445174769256,Accept,Accept,Accept,Accept,0.11617359051735916
0.020284320788279357,1.0337450932086167,-0.06787524295256916,-0.21659271476256078,0.10469006486610179,Accept,Z3,1.4986850350635053,-0.06787524295256916,-0.2076209096724638,0.04960054916925699,Accept,1.4491742747193248,Accept,Accept,Accept,Accept,0.3106740317687647
-0.17185705967986942,0.9534249251941564,0.06710120134556395,-0.09507173833898258,0.431719611893649,Accept,Z3,1.3490466574295192,0.06710120134556395,-0.07034453994850642,0.2464228452925175,Accept,1.3110489065118565,Accept,Accept,Accept,Accept,0.2834334152244213
-0.07548842943976426,1.000330386379106,0.005733741407778948,-0.14341748500066975,0.10141264366326044,Accept,Z3,1.3629339439045842,0.005733741407778948,-0.1154939635967575,0.11178083862531539,Accept,1.334670559676785,Accept,Accept,Accept,Accept,0.23904654329526703
-0.2546678254252117,0.9088506255212527,0.17904334275988074,-0.0506965788671002,0.3892926976848021,Accept,Z3,1.2442566271592097,0.17904334275988074,-0.0682214936320113,0.3780699568975408,Accept,1.204141829401212,Reject,Accept,Accept,Accept,0.2897976363307413
0.24517659938683248,0.9902981699608129,-0.06641703693837946,-0.27022925622229504,0.15091726073698053,Accept,Z3,1.1449203795819316,-0.06641703693837946,-0.2889754417555819,0.17286454865483078,Accept,1.1523656435520222,Accept,Accept,Accept,Accept,0.11379170003531668
