N,Power.Risk,Power.Risk_Noise,Power.Intx,Power.Intx_adj,Power.SDIR
100,0.933,0.872,0.992,0.924,0.317
150,0.982,0.976,1,0.995,0.413
200,0.999,0.997,1,1,0.497
30,0.274,0.18,0.363,0.09,0.132
50,0.54,0.405,0.754,0.386,0.206
