N,Power.Risk,Power.Risk_Noise,Power.MultInt,Power.Intx,Power.Intx_adj,Power.SDIR
100,0.24,0.22,0.7,0.58,0.32,0.1
200,0.5,0.5,0.98,0.94,0.7,0.22
50,0.06,0.1,0.38,0.32,0.04,0.08
