N,Power.Risk,Power.Risk_Noise,Power.Intx,Power.Intx_adj,Power.SDIR
100,0.067,0.059,0.049,0.005,0.04
150,0.046,0.048,0.049,0.006,0.048
200,0.048,0.036,0.052,0.009,0.056
30,0.049,0.046,0.057,0.004,0.047
50,0.043,0.047,0.046,0.004,0.044
